,HomeTeam,Score,AwayTeam,Date,Ground
32,Wales,0 - 5,Ireland,12 Mar 1949,"St Helens Swansea, Wales"
33,Wales,6 - 0,Ireland,29 Mar 1947,"St Helens Swansea, Wales"
34,Wales,11 - 5,Ireland,12 Mar 1938,"St Helens Swansea, Wales"
35,Wales,3 - 0,Ireland,14 Mar 1936,"Millennium Stadium Cardiff, Wales"
36,Wales,13 - 0,Ireland,10 Mar 1934,"St Helens Swansea, Wales"
37,Wales,10 - 12,Ireland,12 Mar 1932,"Millennium Stadium Cardiff, Wales"
38,Wales,12 - 7,Ireland,08 Mar 1930,"St Helens Swansea, Wales"
39,Wales,10 - 13,Ireland,10 Mar 1928,"Millennium Stadium Cardiff, Wales"
40,Wales,11 - 8,Ireland,13 Mar 1926,"St Helens Swansea, Wales"
41,Wales,10 - 13,Ireland,08 Mar 1924,"Millennium Stadium Cardiff, Wales"
42,Wales,11 - 5,Ireland,11 Mar 1922,"St Helens Swansea, Wales"
43,Wales,28 - 4,Ireland,13 Mar 1920,"Millennium Stadium Cardiff, Wales"
44,Wales,16 - 13,Ireland,08 Mar 1913,"St Helens Swansea, Wales"
45,Wales,16 - 0,Ireland,11 Mar 1911,"Millennium Stadium Cardiff, Wales"
46,Wales,18 - 5,Ireland,13 Mar 1909,"St Helens Swansea, Wales"
47,Wales,29 - 0,Ireland,09 Mar 1907,"Cardiff Arms Park Cardiff, Wales"
48,Wales,10 - 3,Ireland,11 Mar 1905,"St Helens Swansea, Wales"
49,Wales,18 - 0,Ireland,14 Mar 1903,"Cardiff Arms Park Cardiff, Wales"
50,Wales,10 - 9,Ireland,16 Mar 1901,"St Helens Swansea, Wales"
51,Wales,0 - 3,Ireland,18 Mar 1899,"Cardiff Arms Park Cardiff, Wales"
52,Wales,5 - 3,Ireland,16 Mar 1895,"Cardiff Arms Park Cardiff, Wales"
53,Wales,2 - 0,Ireland,11 Mar 1893,"Stradey Park Llanelli, Wales"
54,Wales,6 - 4,Ireland,07 Mar 1891,"Stradey Park Llanelli, Wales"
55,Wales,0 - 2,Ireland,02 Mar 1889,"St Helens Swansea, Wales"
56,Wales,5 - 0,Ireland,12 Apr 1884,"Cardiff Arms Park Cardiff, Wales"
57,Wales,23 - 16,Ireland,14 Mar 2015,
58,Wales,21 - 35,Ireland,08 Aug 2015,
59,Wales,22 - 9,Ireland,10 Mar 2017,
60,Ireland,26 - 3,Wales,08 Feb 2014,"Aviva Stadium Dublin, Ireland"
61,Ireland,21 - 23,Wales,05 Feb 2012,"Aviva Stadium Dublin, Ireland"
62,Ireland,10 - 22,Wales,08 Oct 2011,"Athletic Park Wellington, New Zealand"
63,Ireland,27 - 12,Wales,13 Mar 2010,"Croke Park Dublin, Ireland"
64,Ireland,12 - 16,Wales,08 Mar 2008,"Croke Park Dublin, Ireland"
65,Ireland,31 - 5,Wales,26 Feb 2006,"Lansdowne Road Dublin, Ireland"
66,Ireland,36 - 15,Wales,22 Feb 2004,"Lansdowne Road Dublin, Ireland"
67,Ireland,35 - 12,Wales,16 Aug 2003,"Lansdowne Road Dublin, Ireland"
68,Ireland,54 - 10,Wales,03 Feb 2002,"Lansdowne Road Dublin, Ireland"
69,Ireland,19 - 23,Wales,01 Apr 2000,"Lansdowne Road Dublin, Ireland"
70,Ireland,21 - 30,Wales,21 Mar 1998,"Lansdowne Road Dublin, Ireland"
71,Ireland,30 - 17,Wales,02 Mar 1996,"Lansdowne Road Dublin, Ireland"
72,Ireland,24 - 23,Wales,04 Jun 1995,"Ellis Park Johannesburg, South Africa"
73,Ireland,15 - 17,Wales,05 Feb 1994,"Lansdowne Road Dublin, Ireland"
74,Ireland,15 - 16,Wales,18 Jan 1992,"Lansdowne Road Dublin, Ireland"
75,Ireland,14 - 8,Wales,24 Mar 1990,"Lansdowne Road Dublin, Ireland"
76,Ireland,9 - 12,Wales,05 Mar 1988,"Lansdowne Road Dublin, Ireland"
77,Ireland,6 - 13,Wales,25 May 1987,"Athletic Park Wellington, New Zealand"
78,Ireland,12 - 19,Wales,15 Feb 1986,"Lansdowne Road Dublin, Ireland"
79,Ireland,9 - 18,Wales,04 Feb 1984,"Lansdowne Road Dublin, Ireland"
80,Ireland,20 - 12,Wales,23 Jan 1982,"Lansdowne Road Dublin, Ireland"
81,Ireland,21 - 7,Wales,15 Mar 1980,"Lansdowne Road Dublin, Ireland"
82,Ireland,16 - 20,Wales,04 Mar 1978,"Lansdowne Road Dublin, Ireland"
83,Ireland,9 - 34,Wales,21 Feb 1976,"Lansdowne Road Dublin, Ireland"
84,Ireland,9 - 9,Wales,02 Feb 1974,"Lansdowne Road Dublin, Ireland"
85,Ireland,14 - 0,Wales,14 Mar 1970,"Lansdowne Road Dublin, Ireland"
86,Ireland,9 - 6,Wales,09 Mar 1968,"Lansdowne Road Dublin, Ireland"
87,Ireland,9 - 6,Wales,12 Mar 1966,"Lansdowne Road Dublin, Ireland"
88,Ireland,6 - 15,Wales,07 Mar 1964,"Lansdowne Road Dublin, Ireland"
89,Ireland,3 - 3,Wales,17 Nov 1962,"Lansdowne Road Dublin, Ireland"
90,Ireland,9 - 10,Wales,12 Mar 1960,"Lansdowne Road Dublin, Ireland"
91,Ireland,6 - 9,Wales,15 Mar 1958,"Lansdowne Road Dublin, Ireland"
92,Ireland,11 - 3,Wales,10 Mar 1956,"Lansdowne Road Dublin, Ireland"
93,Ireland,9 - 12,Wales,13 Mar 1954,"Lansdowne Road Dublin, Ireland"
94,Ireland,3 - 14,Wales,08 Mar 1952,"Lansdowne Road Dublin, Ireland"
95,Ireland,3 - 6,Wales,11 Mar 1950,"Ravenhill Belfast, Ireland"
96,Ireland,6 - 3,Wales,13 Mar 1948,"Ravenhill Belfast, Ireland"
97,Ireland,0 - 7,Wales,11 Mar 1939,"Ravenhill Belfast, Ireland"
98,Ireland,5 - 3,Wales,03 Apr 1937,"Ravenhill Belfast, Ireland"
99,Ireland,9 - 3,Wales,09 Mar 1935,"Ravenhill Belfast, Ireland"
100,Ireland,10 - 5,Wales,11 Mar 1933,"Ravenhill Belfast, Ireland"
101,Ireland,3 - 15,Wales,14 Mar 1931,"Ravenhill Belfast, Ireland"
102,Ireland,5 - 5,Wales,09 Mar 1929,"Ravenhill Belfast, Ireland"
103,Ireland,19 - 9,Wales,12 Mar 1927,"Lansdowne Road Dublin, Ireland"
104,Ireland,19 - 3,Wales,14 Mar 1925,"Ravenhill Belfast, Ireland"
105,Ireland,5 - 4,Wales,10 Mar 1923,"Lansdowne Road Dublin, Ireland"
106,Ireland,0 - 6,Wales,12 Mar 1921,"Balmoral Showground Belfast, Ireland"
107,Ireland,3 - 11,Wales,14 Mar 1914,"Balmoral Showground Belfast, Ireland"
108,Ireland,12 - 5,Wales,09 Mar 1912,"Balmoral Showground Belfast, Ireland"
109,Ireland,3 - 19,Wales,12 Mar 1910,"Lansdowne Road Dublin, Ireland"
110,Ireland,5 - 11,Wales,14 Mar 1908,"Balmoral Showground Belfast, Ireland"
111,Ireland,11 - 6,Wales,10 Mar 1906,"Balmoral Showground Belfast, Ireland"
112,Ireland,14 - 12,Wales,12 Mar 1904,"Balmoral Showground Belfast, Ireland"
113,Ireland,0 - 15,Wales,08 Mar 1902,"Lansdowne Road Dublin, Ireland"
114,Ireland,0 - 3,Wales,17 Mar 1900,"Balmoral Showground Belfast, Ireland"
115,Ireland,3 - 11,Wales,19 Mar 1898,"Thomond Park Limerick, Ireland"
116,Ireland,8 - 4,Wales,14 Mar 1896,"Lansdowne Road Dublin, Ireland"
117,Ireland,3 - 0,Wales,19 Mar 1894,"Ballynafeigh Belfast, Ireland"
118,Ireland,9 - 0,Wales,05 Mar 1892,"Lansdowne Road Dublin, Ireland"
119,Ireland,3 - 3,Wales,01 Mar 1890,"Lansdowne Road Dublin, Ireland"
120,Ireland,7 - 0,Wales,03 Mar 1888,"Lansdowne Road Dublin, Ireland"
121,Ireland,3 - 4,Wales,12 Mar 1887,"Birkenhead Park Birkenhead, England"
122,Ireland,0 - 8,Wales,28 Jan 1882,"Lansdowne Road Dublin, Ireland"
123,Ireland,10 - 16,Wales,29 Aug 2015,
124,Ireland,16 - 16,Wales,07 Feb 2016,
125,Ireland,37 - 27,Wales,24 Feb 2018,
