,HomeTeam,Score,AwayTeam,Date,Ground
95,Ireland,0 - 3,England,14 Feb 1959,"Lansdowne Road Dublin, Ireland"
96,Ireland,0 - 6,England,09 Feb 1957,"Lansdowne Road Dublin, Ireland"
97,Ireland,6 - 6,England,12 Feb 1955,"Lansdowne Road Dublin, Ireland"
98,Ireland,9 - 9,England,14 Feb 1953,"Lansdowne Road Dublin, Ireland"
99,Ireland,3 - 0,England,10 Feb 1951,"Lansdowne Road Dublin, Ireland"
100,Ireland,14 - 5,England,12 Feb 1949,"Lansdowne Road Dublin, Ireland"
101,Ireland,22 - 0,England,08 Feb 1947,"Lansdowne Road Dublin, Ireland"
102,Ireland,14 - 36,England,12 Feb 1938,"Lansdowne Road Dublin, Ireland"
103,Ireland,6 - 3,England,08 Feb 1936,"Lansdowne Road Dublin, Ireland"
104,Ireland,3 - 13,England,10 Feb 1934,"Lansdowne Road Dublin, Ireland"
105,Ireland,8 - 11,England,13 Feb 1932,"Lansdowne Road Dublin, Ireland"
106,Ireland,4 - 3,England,08 Feb 1930,"Lansdowne Road Dublin, Ireland"
107,Ireland,6 - 7,England,11 Feb 1928,"Lansdowne Road Dublin, Ireland"
108,Ireland,19 - 15,England,13 Feb 1926,"Lansdowne Road Dublin, Ireland"
109,Ireland,3 - 14,England,09 Feb 1924,"Ravenhill Belfast, Ireland"
110,Ireland,3 - 12,England,11 Feb 1922,"Lansdowne Road Dublin, Ireland"
111,Ireland,11 - 14,England,14 Feb 1920,"Lansdowne Road Dublin, Ireland"
112,Ireland,4 - 15,England,08 Feb 1913,"Lansdowne Road Dublin, Ireland"
113,Ireland,3 - 0,England,11 Feb 1911,"Lansdowne Road Dublin, Ireland"
114,Ireland,5 - 11,England,13 Feb 1909,"Lansdowne Road Dublin, Ireland"
115,Ireland,17 - 9,England,09 Feb 1907,"Lansdowne Road Dublin, Ireland"
116,Ireland,17 - 3,England,11 Feb 1905,"Mardyke Cork, Ireland"
117,Ireland,6 - 0,England,14 Feb 1903,"Lansdowne Road Dublin, Ireland"
118,Ireland,10 - 6,England,09 Feb 1901,"Lansdowne Road Dublin, Ireland"
119,Ireland,6 - 0,England,04 Feb 1899,"Lansdowne Road Dublin, Ireland"
120,Ireland,13 - 9,England,06 Feb 1897,"Lansdowne Road Dublin, Ireland"
121,Ireland,3 - 6,England,02 Feb 1895,"Lansdowne Road Dublin, Ireland"
122,Ireland,0 - 4,England,04 Feb 1893,"Lansdowne Road Dublin, Ireland"
123,Ireland,0 - 9,England,07 Feb 1891,"Lansdowne Road Dublin, Ireland"
124,Ireland,6 - 0,England,05 Feb 1887,"Lansdowne Road Dublin, Ireland"
125,Ireland,0 - 1,England,06 Feb 1886,"Lansdowne Road Dublin, Ireland"
126,Ireland,0 - 3,England,04 Feb 1884,"Lansdowne Road Dublin, Ireland"
127,Ireland,2 - 2,England,06 Feb 1882,"Lansdowne Road Dublin, Ireland"
128,Ireland,1 - 4,England,30 Jan 1880,"Lansdowne Road Dublin, Ireland"
129,Ireland,0 - 7,England,11 Mar 1878,"Lansdowne Road Dublin, Ireland"
130,Ireland,0 - 4,England,13 Dec 1875,"Rathmines Dublin, Ireland"
131,Ireland,19 - 9,England,01 Mar 2015,
132,Ireland,13 - 9,England,18 Mar 2017,
