,HomeTeam,Score,AwayTeam,Date,Ground
82,Scotland,6 - 4,France,24 Jan 1931,"Murrayfield Edinburgh, Scotland"
83,Scotland,6 - 3,France,19 Jan 1929,"Murrayfield Edinburgh, Scotland"
84,Scotland,23 - 6,France,22 Jan 1927,"Murrayfield Edinburgh, Scotland"
85,Scotland,25 - 4,France,24 Jan 1925,"Inverleith Edinburgh, Scotland"
86,Scotland,16 - 3,France,20 Jan 1923,"Inverleith Edinburgh, Scotland"
87,Scotland,0 - 3,France,22 Jan 1921,"Inverleith Edinburgh, Scotland"
88,Scotland,31 - 3,France,20 Jan 1912,"Inverleith Edinburgh, Scotland"
89,Scotland,27 - 0,France,22 Jan 1910,"Inverleith Edinburgh, Scotland"
90,Scotland,29 - 18,France,13 Mar 2016,
91,Scotland,32 - 26,France,11 Feb 2018,
