,File,Date,Matchup,Home,Away,HScore,AScore,Highest +/-,+/- (Optional),Team (Optional)
18,[2017-11-11]-0021700177-ATL@WAS.csv,2017-11-11,ATL@WAS,WAS,ATL,,,,,
19,[2017-11-13]-0021700195-ATL@NOP.csv,2017-11-13,ATL@NOP,NOP,ATL,,,,,
20,[2017-11-14]-0021700203-SAS@DAL.csv,2017-11-14,SAS@DAL,DAL,SAS,,,,,
21,[2017-11-15]-0021700205-WAS@MIA.csv,2017-11-15,WAS@MIA,MIA,WAS,,,,,
22,[2017-11-20]-0021700245-LAC@NYK.csv,2017-11-20,LAC@NYK,NYK,LAC,,,,,
23,[2017-11-20]-0021700248-OKC@NOP.csv,2017-11-20,OKC@NOP,NOP,OKC,,,,,
24,[2017-11-22]-0021700255-POR@PHI.csv,2017-11-22,POR@PHI,PHI,POR,,,,,
25,[2017-11-22]-0021700258-TOR@NYK.csv,2017-11-22,TOR@NYK,NYK,TOR,,,,,
26,[2017-11-25]-0021700282-NYK@HOU.csv,2017-11-25,NYK@HOU,HOU,NYK,,,,,
27,[2017-11-29]-0021700304-OKC@ORL.csv,2017-11-29,OKC@ORL,ORL,OKC,,,,,
28,[2017-11-29]-0021700310-BKN@DAL.csv,2017-11-29,BKN@DAL,DAL,BKN,,,,,
29,[2017-12-02]-0021700330-DET@PHI.csv,2017-12-02,DET@PHI,PHI,DET,,,,,
30,[2017-12-04]-0021700344-CLE@CHI.csv,2017-12-04,CLE@CHI,CHI,CLE,,,,,
31,[2017-12-06]-0021700359-DET@MIL.csv,2017-12-06,DET@MIL,MIL,DET,,,,,
32,[2017-12-06]-0021700361-MIA@SAS.csv,2017-12-06,MIA@SAS,SAS,MIA,,,,,
33,[2017-12-08]-0021700368-GSW@DET.csv,2017-12-08,GSW@DET,DET,GSW,,,,,
34,[2017-12-09]-0021700380-NYK@CHI.csv,2017-12-09,NYK@CHI,CHI,NYK,,,,,
35,[2017-12-10]-0021700387-DEN@IND.csv,2017-12-10,DEN@IND,IND,DEN,,,,,
36,[2017-12-10]-0021700389-PHI@NOP.csv,2017-12-10,PHI@NOP,NOP,PHI,,,,,
37,[2017-12-11]-0021700392-NOP@HOU.csv,2017-12-11,NOP@HOU,HOU,NOP,,,,,
38,[2017-12-12]-0021700401-PHI@MIN.csv,2017-12-12,PHI@MIN,MIN,PHI,,,,,
39,[2017-12-18]-0021700447-DEN@OKC.csv,2017-12-18,DEN@OKC,OKC,DEN,,,,,
40,[2017-12-18]-0021700449-LAC@SAS.csv,2017-12-18,LAC@SAS,SAS,LAC,,,,,
41,[2017-12-20]-0021700456-MIA@BOS.csv,2017-12-20,MIA@BOS,BOS,MIA,,,,,
42,[2017-12-20]-0021700459-LAL@HOU.csv,2017-12-20,LAL@HOU,HOU,LAL,,,,,
43,[2017-12-21]-0021700468-BOS@NYK.csv,2017-12-21,BOS@NYK,NYK,BOS,,,,,
44,[2017-12-23]-0021700483-ORL@WAS.csv,2017-12-23,ORL@WAS,WAS,ORL,,,,,
45,[2017-12-23]-0021700485-CHI@BOS.csv,2017-12-23,CHI@BOS,BOS,CHI,,,,,
46,[2017-12-26]-0021700498-IND@DET.csv,2017-12-26,IND@DET,DET,IND,,,,,
47,[2017-12-27]-0021700508-WAS@ATL.csv,2017-12-27,WAS@ATL,ATL,WAS,,,,,
48,[2017-12-27]-0021700511-BKN@NOP.csv,2017-12-27,BKN@NOP,NOP,BKN,,,,,
49,[2017-12-28]-0021700518-MIN@MIL.csv,2017-12-28,MIN@MIL,MIL,MIN,,,,,
50,[2017-12-30]-0021700533-POR@ATL.csv,2017-12-30,POR@ATL,ATL,POR,,,,,
51,[2017-12-31]-0021700539-BKN@BOS.csv,2017-12-31,BKN@BOS,BOS,BKN,,,,,
52,[2018-01-03]-0021700564-NOP@UTA.csv,2018-01-03,NOP@UTA,UTA,NOP,,,,,
53,[2018-01-03]-0021700565-OKC@LAL.csv,2018-01-03,OKC@LAL,LAL,OKC,,,,,
54,[2018-01-05]-0021700570-MIN@BOS.csv,2018-01-05,MIN@BOS,BOS,MIN,,,,,
55,[2018-01-05]-0021700571-TOR@MIL.csv,2018-01-05,TOR@MIL,MIL,TOR,,,,,
56,[2018-01-13]-0021700629-OKC@CHA.csv,2018-01-13,OKC@CHA,CHA,OKC,,,,,
57,[2018-01-15]-0021700643-SAC@OKC.csv,2018-01-15,SAC@OKC,OKC,SAC,,,,,
58,[2018-01-19]-0021700672-NYK@UTA.csv,2018-01-19,NYK@UTA,UTA,NYK,,,,,
59,[2018-01-27]-0021700726-WAS@ATL.csv,2018-01-27,WAS@ATL,ATL,WAS,,,,,
60,[2018-02-02]-0021700773-UTA@PHX.csv,2018-02-02,UTA@PHX,PHX,UTA,,,,,
61,[2018-02-04]-0021700789-CHA@PHX.csv,2018-02-04,CHA@PHX,PHX,CHA,,,,,
62,[2018-02-05]-0021700795-CHI@SAC.csv,2018-02-05,CHI@SAC,SAC,CHI,,,,,
63,[2018-02-11]-0021700835-CLE@BOS.csv,2018-02-11,CLE@BOS,BOS,CLE,,,,,
64,[2018-02-13]-0021700851-SAC@DAL.csv,2018-02-13,SAC@DAL,DAL,SAC,,,,,
65,[2018-02-13]-0021700852-SAS@DEN.csv,2018-02-13,SAS@DEN,DEN,SAS,,,,,
66,[2018-02-15]-0021700866-LAL@MIN.csv,2018-02-15,LAL@MIN,MIN,LAL,,,,,
67,[2018-02-22]-0021700869-WAS@CLE.csv,2018-02-22,WAS@CLE,CLE,WAS,,,,,
68,[2018-02-22]-0021700872-LAC@GSW.csv,2018-02-22,LAC@GSW,GSW,LAC,,,,,
69,[2018-02-28]-0021700918-PHX@MEM.csv,2018-02-28,PHX@MEM,MEM,PHX,,,,,
70,[2018-03-02]-0021700927-CHA@PHI.csv,2018-03-02,CHA@PHI,PHI,CHA,,,,,
71,[2018-03-03]-0021700940-LAL@SAS.csv,2018-03-03,LAL@SAS,SAS,LAL,,,,,
72,[2018-03-04]-0021700945-IND@WAS.csv,2018-03-04,IND@WAS,WAS,IND,,,,,
73,[2018-03-05]-0021700951-MIL@IND.csv,2018-03-05,MIL@IND,IND,MIL,,,,,
74,[2018-03-06]-0021700959-MIA@WAS.csv,2018-03-06,MIA@WAS,WAS,MIA,,,,,
75,[2018-03-06]-0021700961-DEN@DAL.csv,2018-03-06,DEN@DAL,DAL,DEN,,,,,
76,[2018-03-06]-0021700964-NOP@LAC.csv,2018-03-06,NOP@LAC,LAC,NOP,,,,,
77,[2018-03-07]-0021700966-TOR@DET.csv,2018-03-07,TOR@DET,DET,TOR,,,,,
78,[2018-03-07]-0021700970-CLE@DEN.csv,2018-03-07,CLE@DEN,DEN,CLE,,,,,
79,[2018-03-09]-0021700978-ATL@IND.csv,2018-03-09,ATL@IND,IND,ATL,,,,,
80,[2018-03-09]-0021700984-GSW@POR.csv,2018-03-09,GSW@POR,POR,GSW,,,,,
81,[2018-03-10]-0021700991-ORL@LAC.csv,2018-03-10,ORL@LAC,LAC,ORL,,,,,
82,[2018-03-13]-0021701005-IND@PHI.csv,2018-03-13,IND@PHI,PHI,IND,,,,,
83,[2018-03-13]-0021701009-DAL@NYK.csv,2018-03-13,DAL@NYK,NYK,DAL,,,,,
84,[2018-03-13]-0021701010-LAC@CHI.csv,2018-03-13,LAC@CHI,CHI,LAC,,,,,
85,[2018-03-14]-0021701018-MIA@SAC.csv,2018-03-14,MIA@SAC,SAC,MIA,,,,,
86,[2018-03-16]-0021701029-BOS@ORL.csv,2018-03-16,BOS@ORL,ORL,BOS,,,,,
87,[2018-03-16]-0021701030-BKN@PHI.csv,2018-03-16,BKN@PHI,PHI,BKN,,,,,
88,[2018-03-17]-0021701039-CLE@CHI.csv,2018-03-17,CLE@CHI,CHI,CLE,,,,,
89,[2018-03-18]-0021701048-HOU@MIN.csv,2018-03-18,HOU@MIN,MIN,HOU,,,,,
90,[2018-03-19]-0021701056-GSW@SAS.csv,2018-03-19,GSW@SAS,SAS,GSW,,,,,
91,[2018-03-20]-0021701061-DAL@NOP.csv,2018-03-20,DAL@NOP,NOP,DAL,,,,,
92,[2018-03-22]-0021701073-PHI@ORL.csv,2018-03-22,PHI@ORL,ORL,PHI,,,,,
93,[2018-03-23]-0021701087-ATL@GSW.csv,2018-03-23,ATL@GSW,GSW,ATL,,,,,
94,[2018-03-24]-0021701088-MIN@PHI.csv,2018-03-24,MIN@PHI,PHI,MIN,,,,,
95,[2018-03-25]-0021701095-SAS@MIL.csv,2018-03-25,SAS@MIL,MIL,SAS,,,,,
96,[2018-03-27]-0021701109-DEN@TOR.csv,2018-03-27,DEN@TOR,TOR,DEN,,,,,
97,[2018-03-28]-0021701123-DAL@LAL.csv,2018-03-28,DAL@LAL,LAL,DAL,,,,,
98,[2018-03-29]-0021701124-WAS@DET.csv,2018-03-29,WAS@DET,DET,WAS,,,,,
99,[2018-04-01]-0021701151-UTA@MIN.csv,2018-04-01,UTA@MIN,MIN,UTA,,,,,
100,[2018-04-01]-0021701152-MIL@DEN.csv,2018-04-01,MIL@DEN,DEN,MIL,,,,,
101,[2018-04-01]-0021701155-SAC@LAL.csv,2018-04-01,SAC@LAL,LAL,SAC,,,,,
102,[2018-04-03]-0021701163-GSW@OKC.csv,2018-04-03,GSW@OKC,OKC,GSW,,,,,
103,[2018-04-04]-0021701171-BOS@TOR.csv,2018-04-04,BOS@TOR,TOR,BOS,,,,,
104,[2018-04-08]-0021701202-ATL@BOS.csv,2018-04-08,ATL@BOS,BOS,ATL,,,,,
105,[2018-04-11]-0021701220-NYK@CLE.csv,2018-04-11,NYK@CLE,CLE,NYK,,,,,
106,[2018-04-11]-0021701226-SAS@NOP.csv,2018-04-11,SAS@NOP,NOP,SAS,,,,,
107,[2018-04-11]-0021701229-UTA@POR.csv,2018-04-11,UTA@POR,POR,UTA,,,,,
108,[2018-04-14]-0041700101-WAS@TOR.csv,2018-04-14,WAS@TOR,TOR,WAS,,,,,
109,[2018-04-16]-0041700122-MIA@PHI.csv,2018-04-16,MIA@PHI,PHI,MIA,,,,,
110,[2018-04-16]-0041700152-SAS@GSW.csv,2018-04-16,SAS@GSW,GSW,SAS,,,,,
111,[2018-04-19]-0041700123-PHI@MIA.csv,2018-04-19,PHI@MIA,MIA,PHI,,,,,
112,[2018-04-20]-0041700133-CLE@IND.csv,2018-04-20,CLE@IND,IND,CLE,,,,,
113,[2018-04-21]-0041700124-PHI@MIA.csv,2018-04-21,PHI@MIA,MIA,PHI,,,,,
114,[2018-04-24]-0041700115-MIL@BOS.csv,2018-04-24,MIL@BOS,BOS,MIL,,,,,
115,[2018-04-27]-0041700176-OKC@UTA.csv,2018-04-27,OKC@UTA,UTA,OKC,,,,,
116,[2018-05-04]-0041700233-GSW@NOP.csv,2018-05-04,GSW@NOP,NOP,GSW,,,,,
117,[2018-05-14]-0041700311-GSW@HOU.csv,2018-05-14,GSW@HOU,HOU,GSW,,,,,
118,[2018-05-15]-0041700302-CLE@BOS.csv,2018-05-15,CLE@BOS,BOS,CLE,,,,,
