,index,player,Conceded,Scored,PlusMinus,Team,GameID,HomeAway
4,4,Davis Bertans,59.0,63.0,4.0,SAS,"=""0021700698""",Home
5,5,Dejounte Murray,59.0,64.0,5.0,SAS,"=""0021700698""",Home
6,6,Joffrey Lauvergne,40.0,25.0,-15.0,SAS,"=""0021700698""",Home
7,7,Kyle Anderson,68.0,80.0,12.0,SAS,"=""0021700698""",Home
8,8,LaMarcus Aldridge,78.0,99.0,21.0,SAS,"=""0021700698""",Home
9,9,Patty Mills,52.0,49.0,-3.0,SAS,"=""0021700698""",Home
10,10,Tony Parker,43.0,50.0,7.0,SAS,"=""0021700698""",Home
0,0,Brandon Paul,20.0,16.0,-4.0,SAS,"=""0021700589""",Away
1,1,Bryn Forbes,60.0,61.0,1.0,SAS,"=""0021700589""",Away
2,2,Davis Bertans,68.0,63.0,-5.0,SAS,"=""0021700589""",Away
3,3,Dejounte Murray,43.0,44.0,1.0,SAS,"=""0021700589""",Away
4,4,Joffrey Lauvergne,20.0,12.0,-8.0,SAS,"=""0021700589""",Away
5,5,Kyle Anderson,72.0,76.0,4.0,SAS,"=""0021700589""",Away
6,6,LaMarcus Aldridge,72.0,82.0,10.0,SAS,"=""0021700589""",Away
7,7,Manu Ginobili,70.0,67.0,-3.0,SAS,"=""0021700589""",Away
8,8,Patty Mills,70.0,66.0,-4.0,SAS,"=""0021700589""",Away
9,9,Pau Gasol,60.0,63.0,3.0,SAS,"=""0021700589""",Away
0,0,Brandon Paul,52.0,54.0,2.0,SAS,"=""0021700428""",Away
1,1,Bryn Forbes,73.0,77.0,4.0,SAS,"=""0021700428""",Away
2,2,Danny Green,54.0,32.0,-22.0,SAS,"=""0021700428""",Away
3,3,Davis Bertans,48.0,44.0,-4.0,SAS,"=""0021700428""",Away
4,4,Dejounte Murray,45.0,56.0,11.0,SAS,"=""0021700428""",Away
5,5,Joffrey Lauvergne,43.0,47.0,4.0,SAS,"=""0021700428""",Away
6,6,Kawhi Leonard,40.0,31.0,-9.0,SAS,"=""0021700428""",Away
7,7,LaMarcus Aldridge,62.0,55.0,-7.0,SAS,"=""0021700428""",Away
8,8,Manu Ginobili,16.0,6.0,-10.0,SAS,"=""0021700428""",Away
9,9,Patty Mills,55.0,51.0,-4.0,SAS,"=""0021700428""",Away
10,10,Pau Gasol,51.0,23.0,-28.0,SAS,"=""0021700428""",Away
11,11,Rudy Gay,38.0,42.0,4.0,SAS,"=""0021700428""",Away
12,12,Tony Parker,43.0,27.0,-16.0,SAS,"=""0021700428""",Away
0,0,Brandon Paul,6.0,4.0,-2.0,SAS,"=""0021700402""",Away
1,1,Bryn Forbes,52.0,42.0,-10.0,SAS,"=""0021700402""",Away
2,2,Danny Green,39.0,39.0,0.0,SAS,"=""0021700402""",Away
3,3,Davis Bertans,7.0,4.0,-3.0,SAS,"=""0021700402""",Away
4,4,Dejounte Murray,8.0,11.0,3.0,SAS,"=""0021700402""",Away
5,5,Joffrey Lauvergne,15.0,12.0,-3.0,SAS,"=""0021700402""",Away
6,6,Kawhi Leonard,20.0,28.0,8.0,SAS,"=""0021700402""",Away
7,7,LaMarcus Aldridge,66.0,71.0,5.0,SAS,"=""0021700402""",Away
8,8,Manu Ginobili,63.0,57.0,-6.0,SAS,"=""0021700402""",Away
9,9,Patty Mills,59.0,54.0,-5.0,SAS,"=""0021700402""",Away
10,10,Pau Gasol,38.0,35.0,-3.0,SAS,"=""0021700402""",Away
11,11,Rudy Gay,66.0,53.0,-13.0,SAS,"=""0021700402""",Away
12,12,Tony Parker,36.0,35.0,-1.0,SAS,"=""0021700402""",Away
0,0,Bryn Forbes,21.0,32.0,11.0,SAS,"=""0021701025""",Home
1,1,Danny Green,51.0,61.0,10.0,SAS,"=""0021701025""",Home
2,2,Davis Bertans,13.0,11.0,-2.0,SAS,"=""0021701025""",Home
3,3,Dejounte Murray,46.0,50.0,4.0,SAS,"=""0021701025""",Home
4,4,Kyle Anderson,72.0,67.0,-5.0,SAS,"=""0021701025""",Home
5,5,LaMarcus Aldridge,74.0,71.0,-3.0,SAS,"=""0021701025""",Home
6,6,Manu Ginobili,47.0,44.0,-3.0,SAS,"=""0021701025""",Home
7,7,Patty Mills,70.0,66.0,-4.0,SAS,"=""0021701025""",Home
8,8,Pau Gasol,19.0,27.0,8.0,SAS,"=""0021701025""",Home
9,9,Rudy Gay,8.0,20.0,12.0,SAS,"=""0021701025""",Home
10,10,Tony Parker,44.0,41.0,-3.0,SAS,"=""0021701025""",Home
0,0,Brandon Paul,15.0,12.0,-3.0,SAS,"=""0021701012""",Home
1,1,Bryn Forbes,32.0,41.0,9.0,SAS,"=""0021701012""",Home
2,2,Danny Green,36.0,61.0,25.0,SAS,"=""0021701012""",Home
3,3,Davis Bertans,12.0,7.0,-5.0,SAS,"=""0021701012""",Home
4,4,Dejounte Murray,43.0,63.0,20.0,SAS,"=""0021701012""",Home
5,5,Joffrey Lauvergne,12.0,7.0,-5.0,SAS,"=""0021701012""",Home
6,6,Kyle Anderson,36.0,64.0,28.0,SAS,"=""0021701012""",Home
7,7,LaMarcus Aldridge,40.0,67.0,27.0,SAS,"=""0021701012""",Home
8,8,Manu Ginobili,21.0,35.0,14.0,SAS,"=""0021701012""",Home
9,9,Patty Mills,40.0,67.0,27.0,SAS,"=""0021701012""",Home
10,10,Pau Gasol,20.0,35.0,15.0,SAS,"=""0021701012""",Home
11,11,Rudy Gay,28.0,36.0,8.0,SAS,"=""0021701012""",Home
12,12,Tony Parker,25.0,45.0,20.0,SAS,"=""0021701012""",Home
0,0,Brandon Paul,4.0,4.0,0.0,SAS,"=""0021701196""",Home
1,1,Bryn Forbes,32.0,24.0,-8.0,SAS,"=""0021701196""",Home
2,2,Danny Green,30.0,30.0,0.0,SAS,"=""0021701196""",Home
3,3,Davis Bertans,4.0,4.0,0.0,SAS,"=""0021701196""",Home
4,4,Dejounte Murray,59.0,71.0,12.0,SAS,"=""0021701196""",Home
5,5,Joffrey Lauvergne,2.0,3.0,1.0,SAS,"=""0021701196""",Home
6,6,Kyle Anderson,60.0,72.0,12.0,SAS,"=""0021701196""",Home
7,7,LaMarcus Aldridge,80.0,97.0,17.0,SAS,"=""0021701196""",Home
8,8,Manu Ginobili,42.0,44.0,2.0,SAS,"=""0021701196""",Home
9,9,Patty Mills,69.0,85.0,16.0,SAS,"=""0021701196""",Home
10,10,Pau Gasol,61.0,54.0,-7.0,SAS,"=""0021701196""",Home
11,11,Rudy Gay,54.0,67.0,13.0,SAS,"=""0021701196""",Home
12,12,Tony Parker,28.0,25.0,-3.0,SAS,"=""0021701196""",Home
0,0,Brandon Paul,7.0,12.0,5.0,SAS,"=""0041700153""",Home
1,1,Bryn Forbes,24.0,23.0,-1.0,SAS,"=""0041700153""",Home
2,2,Danny Green,38.0,39.0,1.0,SAS,"=""0041700153""",Home
3,3,Davis Bertans,47.0,48.0,1.0,SAS,"=""0041700153""",Home
4,4,Dejounte Murray,34.0,37.0,3.0,SAS,"=""0041700153""",Home
5,5,Derrick White,7.0,12.0,5.0,SAS,"=""0041700153""",Home
6,6,Kyle Anderson,44.0,34.0,-10.0,SAS,"=""0041700153""",Home
7,7,LaMarcus Aldridge,87.0,68.0,-19.0,SAS,"=""0041700153""",Home
8,8,Manu Ginobili,46.0,34.0,-12.0,SAS,"=""0041700153""",Home
9,9,Patty Mills,78.0,60.0,-18.0,SAS,"=""0041700153""",Home
10,10,Pau Gasol,42.0,31.0,-11.0,SAS,"=""0041700153""",Home
11,11,Rudy Gay,61.0,58.0,-3.0,SAS,"=""0041700153""",Home
12,12,Tony Parker,35.0,29.0,-6.0,SAS,"=""0041700153""",Home
0,0,Brandon Paul,43.0,35.0,-8.0,SAS,"=""0021701226""",Away
1,1,Bryn Forbes,62.0,54.0,-8.0,SAS,"=""0021701226""",Away
2,2,Danny Green,47.0,40.0,-7.0,SAS,"=""0021701226""",Away
3,3,Davis Bertans,32.0,26.0,-6.0,SAS,"=""0021701226""",Away
4,4,Dejounte Murray,68.0,55.0,-13.0,SAS,"=""0021701226""",Away
5,5,Joffrey Lauvergne,29.0,23.0,-6.0,SAS,"=""0021701226""",Away
6,6,Kyle Anderson,45.0,35.0,-10.0,SAS,"=""0021701226""",Away
7,7,LaMarcus Aldridge,57.0,41.0,-16.0,SAS,"=""0021701226""",Away
8,8,Manu Ginobili,32.0,25.0,-7.0,SAS,"=""0021701226""",Away
9,9,Patty Mills,51.0,33.0,-18.0,SAS,"=""0021701226""",Away
10,10,Pau Gasol,28.0,25.0,-3.0,SAS,"=""0021701226""",Away
11,11,Rudy Gay,62.0,55.0,-7.0,SAS,"=""0021701226""",Away
12,12,Tony Parker,54.0,43.0,-11.0,SAS,"=""0021701226""",Away
0,0,Brandon Paul,,2.0,2.0,SAS,"=""0021700852""",Away
1,1,Bryn Forbes,43.0,49.0,6.0,SAS,"=""0021700852""",Away
2,2,Danny Green,79.0,79.0,0.0,SAS,"=""0021700852""",Away
3,3,Darrun Hilliard,11.0,8.0,-3.0,SAS,"=""0021700852""",Away
4,4,Davis Bertans,63.0,59.0,-4.0,SAS,"=""0021700852""",Away
5,5,Dejounte Murray,71.0,63.0,-8.0,SAS,"=""0021700852""",Away
6,6,Derrick White,7.0,7.0,0.0,SAS,"=""0021700852""",Away
7,7,Joffrey Lauvergne,45.0,59.0,14.0,SAS,"=""0021700852""",Away
8,8,Kyle Anderson,66.0,43.0,-23.0,SAS,"=""0021700852""",Away
9,9,Manu Ginobili,32.0,32.0,0.0,SAS,"=""0021700852""",Away
10,10,Patty Mills,54.0,53.0,-1.0,SAS,"=""0021700852""",Away
11,11,Pau Gasol,63.0,43.0,-20.0,SAS,"=""0021700852""",Away
12,12,Tony Parker,51.0,48.0,-3.0,SAS,"=""0021700852""",Away
0,0,Brandon Paul,20.0,32.0,12.0,SAS,"=""0021700262""",Away
1,1,Bryn Forbes,43.0,36.0,-7.0,SAS,"=""0021700262""",Away
2,2,Danny Green,28.0,33.0,5.0,SAS,"=""0021700262""",Away
3,3,Davis Bertans,28.0,30.0,2.0,SAS,"=""0021700262""",Away
4,4,Dejounte Murray,62.0,50.0,-12.0,SAS,"=""0021700262""",Away
5,5,Joffrey Lauvergne,46.0,21.0,-25.0,SAS,"=""0021700262""",Away
6,6,Kyle Anderson,54.0,41.0,-13.0,SAS,"=""0021700262""",Away
7,7,LaMarcus Aldridge,54.0,48.0,-6.0,SAS,"=""0021700262""",Away
8,8,Manu Ginobili,36.0,21.0,-15.0,SAS,"=""0021700262""",Away
9,9,Patty Mills,45.0,40.0,-5.0,SAS,"=""0021700262""",Away
10,10,Pau Gasol,52.0,47.0,-5.0,SAS,"=""0021700262""",Away
11,11,Rudy Gay,67.0,51.0,-16.0,SAS,"=""0021700262""",Away
0,0,Brandon Paul,22.0,25.0,3.0,SAS,"=""0021700449""",Home
1,1,Bryn Forbes,44.0,50.0,6.0,SAS,"=""0021700449""",Home
2,2,Davis Bertans,25.0,40.0,15.0,SAS,"=""0021700449""",Home
3,3,Dejounte Murray,30.0,51.0,21.0,SAS,"=""0021700449""",Home
4,4,Joffrey Lauvergne,7.0,7.0,0.0,SAS,"=""0021700449""",Home
5,5,Kawhi Leonard,33.0,31.0,-2.0,SAS,"=""0021700449""",Home
6,6,LaMarcus Aldridge,61.0,79.0,18.0,SAS,"=""0021700449""",Home
7,7,Manu Ginobili,37.0,56.0,19.0,SAS,"=""0021700449""",Home
8,8,Patty Mills,51.0,57.0,6.0,SAS,"=""0021700449""",Home
9,9,Pau Gasol,38.0,42.0,4.0,SAS,"=""0021700449""",Home
10,10,Rudy Gay,62.0,60.0,-2.0,SAS,"=""0021700449""",Home
11,11,Tony Parker,45.0,47.0,2.0,SAS,"=""0021700449""",Home
0,0,Brandon Paul,57.0,44.0,-13.0,SAS,"=""0021700337""",Away
1,1,Bryn Forbes,58.0,67.0,9.0,SAS,"=""0021700337""",Away
2,2,Danny Green,38.0,28.0,-10.0,SAS,"=""0021700337""",Away
3,3,Davis Bertans,55.0,57.0,2.0,SAS,"=""0021700337""",Away
4,4,Dejounte Murray,70.0,69.0,-1.0,SAS,"=""0021700337""",Away
5,5,Derrick White,23.0,38.0,15.0,SAS,"=""0021700337""",Away
6,6,Joffrey Lauvergne,46.0,43.0,-3.0,SAS,"=""0021700337""",Away
7,7,Kyle Anderson,43.0,44.0,1.0,SAS,"=""0021700337""",Away
8,8,Patty Mills,23.0,18.0,-5.0,SAS,"=""0021700337""",Away
9,9,Pau Gasol,37.0,27.0,-10.0,SAS,"=""0021700337""",Away
0,0,Brandon Paul,,1.0,1.0,SAS,21700880,Away
1,1,Bryn Forbes,29.0,10.0,-19.0,SAS,21700880,Away
2,2,Davis Bertans,30.0,39.0,9.0,SAS,21700880,Away
3,3,Dejounte Murray,62.0,56.0,-6.0,SAS,21700880,Away
4,4,Joffrey Lauvergne,14.0,15.0,1.0,SAS,21700880,Away
5,5,Kyle Anderson,65.0,73.0,8.0,SAS,21700880,Away
6,6,LaMarcus Aldridge,86.0,86.0,0.0,SAS,21700880,Away
7,7,Manu Ginobili,55.0,45.0,-10.0,SAS,21700880,Away
8,8,Patty Mills,81.0,89.0,8.0,SAS,21700880,Away
9,9,Pau Gasol,72.0,72.0,0.0,SAS,21700880,Away
10,10,Rudy Gay,52.0,50.0,-2.0,SAS,21700880,Away
11,11,Tony Parker,64.0,59.0,-5.0,SAS,21700880,Away
0,0,Brandon Paul,14.0,3.0,-11.0,SAS,"=""0021701071""",Home
1,1,Bryn Forbes,27.0,15.0,-12.0,SAS,"=""0021701071""",Home
2,2,Danny Green,49.0,62.0,13.0,SAS,"=""0021701071""",Home
3,3,Davis Bertans,16.0,7.0,-9.0,SAS,"=""0021701071""",Home
4,4,Dejounte Murray,48.0,61.0,13.0,SAS,"=""0021701071""",Home
5,5,Joffrey Lauvergne,16.0,5.0,-11.0,SAS,"=""0021701071""",Home
6,6,Kyle Anderson,49.0,72.0,23.0,SAS,"=""0021701071""",Home
7,7,LaMarcus Aldridge,46.0,66.0,20.0,SAS,"=""0021701071""",Home
8,8,Manu Ginobili,21.0,34.0,13.0,SAS,"=""0021701071""",Home
9,9,Patty Mills,54.0,66.0,12.0,SAS,"=""0021701071""",Home
10,10,Pau Gasol,35.0,31.0,-4.0,SAS,"=""0021701071""",Home
11,11,Rudy Gay,44.0,34.0,-10.0,SAS,"=""0021701071""",Home
12,12,Tony Parker,31.0,34.0,3.0,SAS,"=""0021701071""",Home
0,0,Brandon Paul,12.0,23.0,11.0,SAS,"=""0021700203""",Away
1,1,Bryn Forbes,31.0,29.0,-2.0,SAS,"=""0021700203""",Away
2,2,Danny Green,54.0,51.0,-3.0,SAS,"=""0021700203""",Away
3,3,Davis Bertans,13.0,17.0,4.0,SAS,"=""0021700203""",Away
4,4,Dejounte Murray,36.0,48.0,12.0,SAS,"=""0021700203""",Away
5,5,Joffrey Lauvergne,22.0,13.0,-9.0,SAS,"=""0021700203""",Away
6,6,Kyle Anderson,68.0,77.0,9.0,SAS,"=""0021700203""",Away
7,7,LaMarcus Aldridge,58.0,69.0,11.0,SAS,"=""0021700203""",Away
8,8,Manu Ginobili,41.0,40.0,-1.0,SAS,"=""0021700203""",Away
9,9,Patty Mills,61.0,54.0,-7.0,SAS,"=""0021700203""",Away
10,10,Pau Gasol,35.0,40.0,5.0,SAS,"=""0021700203""",Away
11,11,Rudy Gay,24.0,24.0,0.0,SAS,"=""0021700203""",Away
0,0,Brandon Paul,15.0,17.0,2.0,SAS,"=""0021700046""",Home
1,1,Bryn Forbes,10.0,15.0,5.0,SAS,"=""0021700046""",Home
2,2,Danny Green,61.0,76.0,15.0,SAS,"=""0021700046""",Home
3,3,Dejounte Murray,54.0,66.0,12.0,SAS,"=""0021700046""",Home
4,4,Joffrey Lauvergne,41.0,27.0,-14.0,SAS,"=""0021700046""",Home
5,5,Kyle Anderson,58.0,57.0,-1.0,SAS,"=""0021700046""",Home
6,6,LaMarcus Aldridge,68.0,78.0,10.0,SAS,"=""0021700046""",Home
7,7,Manu Ginobili,51.0,40.0,-11.0,SAS,"=""0021700046""",Home
8,8,Patty Mills,43.0,37.0,-6.0,SAS,"=""0021700046""",Home
9,9,Pau Gasol,41.0,47.0,6.0,SAS,"=""0021700046""",Home
10,10,Rudy Gay,43.0,45.0,2.0,SAS,"=""0021700046""",Home
0,0,Bryn Forbes,56.0,49.0,-7.0,SAS,"=""0041700151""",Away
1,1,Danny Green,50.0,43.0,-7.0,SAS,"=""0041700151""",Away
2,2,Davis Bertans,46.0,42.0,-4.0,SAS,"=""0041700151""",Away
3,3,Dejounte Murray,49.0,53.0,4.0,SAS,"=""0041700151""",Away
4,4,Derrick White,33.0,31.0,-2.0,SAS,"=""0041700151""",Away
5,5,Joffrey Lauvergne,10.0,13.0,3.0,SAS,"=""0041700151""",Away
6,6,Kyle Anderson,26.0,15.0,-11.0,SAS,"=""0041700151""",Away
7,7,LaMarcus Aldridge,53.0,39.0,-14.0,SAS,"=""0041700151""",Away
8,8,Manu Ginobili,41.0,25.0,-16.0,SAS,"=""0041700151""",Away
9,9,Patty Mills,59.0,44.0,-15.0,SAS,"=""0041700151""",Away
10,10,Pau Gasol,54.0,49.0,-5.0,SAS,"=""0041700151""",Away
11,11,Rudy Gay,50.0,37.0,-13.0,SAS,"=""0041700151""",Away
12,12,Tony Parker,38.0,20.0,-18.0,SAS,"=""0041700151""",Away
0,0,Brandon Paul,64.0,61.0,-3.0,SAS,"=""0021700092""",Away
1,1,Bryn Forbes,42.0,59.0,17.0,SAS,"=""0021700092""",Away
2,2,Danny Green,80.0,52.0,-28.0,SAS,"=""0021700092""",Away
3,3,Davis Bertans,15.0,20.0,5.0,SAS,"=""0021700092""",Away
4,4,Dejounte Murray,70.0,48.0,-22.0,SAS,"=""0021700092""",Away
5,5,Derrick White,8.0,11.0,3.0,SAS,"=""0021700092""",Away
6,6,Kyle Anderson,60.0,45.0,-15.0,SAS,"=""0021700092""",Away
7,7,LaMarcus Aldridge,60.0,42.0,-18.0,SAS,"=""0021700092""",Away
8,8,Patty Mills,39.0,42.0,3.0,SAS,"=""0021700092""",Away
9,9,Pau Gasol,57.0,45.0,-12.0,SAS,"=""0021700092""",Away
10,10,Rudy Gay,45.0,45.0,0.0,SAS,"=""0021700092""",Away
0,0,Bryn Forbes,16.0,20.0,4.0,SAS,"=""0021700920""",Home
1,1,Danny Green,67.0,66.0,-1.0,SAS,"=""0021700920""",Home
2,2,Davis Bertans,44.0,42.0,-2.0,SAS,"=""0021700920""",Home
3,3,Dejounte Murray,67.0,74.0,7.0,SAS,"=""0021700920""",Home
4,4,Joffrey Lauvergne,58.0,45.0,-13.0,SAS,"=""0021700920""",Home
5,5,Kyle Anderson,74.0,67.0,-7.0,SAS,"=""0021700920""",Home
6,6,LaMarcus Aldridge,26.0,34.0,8.0,SAS,"=""0021700920""",Home
7,7,Manu Ginobili,58.0,43.0,-15.0,SAS,"=""0021700920""",Home
8,8,Patty Mills,89.0,89.0,0.0,SAS,"=""0021700920""",Home
9,9,Rudy Gay,54.0,58.0,4.0,SAS,"=""0021700920""",Home
10,10,Tony Parker,52.0,42.0,-10.0,SAS,"=""0021700920""",Home
0,0,Bryn Forbes,11.0,13.0,2.0,SAS,21700954,Home
1,1,Danny Green,53.0,53.0,0.0,SAS,21700954,Home
2,2,Davis Bertans,34.0,50.0,16.0,SAS,21700954,Home
3,3,Dejounte Murray,39.0,32.0,-7.0,SAS,21700954,Home
4,4,Joffrey Lauvergne,14.0,13.0,-1.0,SAS,21700954,Home
5,5,Kyle Anderson,59.0,54.0,-5.0,SAS,21700954,Home
6,6,LaMarcus Aldridge,73.0,64.0,-9.0,SAS,21700954,Home
7,7,Manu Ginobili,32.0,46.0,14.0,SAS,21700954,Home
8,8,Patty Mills,52.0,44.0,-8.0,SAS,21700954,Home
9,9,Pau Gasol,43.0,47.0,4.0,SAS,21700954,Home
10,10,Rudy Gay,30.0,25.0,-5.0,SAS,21700954,Home
11,11,Tony Parker,50.0,59.0,9.0,SAS,21700954,Home
0,0,Brandon Paul,,1.0,1.0,SAS,"=""0021700031""",Away
1,1,Bryn Forbes,23.0,24.0,1.0,SAS,"=""0021700031""",Away
2,2,Danny Green,50.0,59.0,9.0,SAS,"=""0021700031""",Away
3,3,Dejounte Murray,38.0,53.0,15.0,SAS,"=""0021700031""",Away
4,4,Joffrey Lauvergne,28.0,24.0,-4.0,SAS,"=""0021700031""",Away
5,5,Kyle Anderson,59.0,56.0,-3.0,SAS,"=""0021700031""",Away
6,6,LaMarcus Aldridge,52.0,65.0,13.0,SAS,"=""0021700031""",Away
7,7,Manu Ginobili,31.0,34.0,3.0,SAS,"=""0021700031""",Away
8,8,Patty Mills,39.0,34.0,-5.0,SAS,"=""0021700031""",Away
9,9,Pau Gasol,35.0,38.0,3.0,SAS,"=""0021700031""",Away
10,10,Rudy Gay,30.0,47.0,17.0,SAS,"=""0021700031""",Away
0,0,Brandon Paul,65.0,62.0,-3.0,SAS,21700383,Away
1,1,Bryn Forbes,73.0,78.0,5.0,SAS,21700383,Away
2,2,Darrun Hilliard,30.0,34.0,4.0,SAS,21700383,Away
3,3,Davis Bertans,49.0,47.0,-2.0,SAS,21700383,Away
4,4,Dejounte Murray,49.0,53.0,4.0,SAS,21700383,Away
5,5,Derrick White,19.0,18.0,-1.0,SAS,21700383,Away
6,6,Joffrey Lauvergne,26.0,31.0,5.0,SAS,21700383,Away
7,7,LaMarcus Aldridge,75.0,73.0,-2.0,SAS,21700383,Away
8,8,Patty Mills,59.0,55.0,-4.0,SAS,21700383,Away
9,9,Rudy Gay,60.0,69.0,9.0,SAS,21700383,Away
0,0,Brandon Paul,7.0,8.0,1.0,SAS,"=""0021700722""",Home
1,1,Bryn Forbes,43.0,41.0,-2.0,SAS,"=""0021700722""",Home
2,2,Danny Green,55.0,40.0,-15.0,SAS,"=""0021700722""",Home
3,3,Darrun Hilliard,2.0,6.0,4.0,SAS,"=""0021700722""",Home
4,4,Davis Bertans,41.0,38.0,-3.0,SAS,"=""0021700722""",Home
5,5,Dejounte Murray,71.0,55.0,-16.0,SAS,"=""0021700722""",Home
6,6,Joffrey Lauvergne,22.0,25.0,3.0,SAS,"=""0021700722""",Home
7,7,Kyle Anderson,54.0,37.0,-17.0,SAS,"=""0021700722""",Home
8,8,LaMarcus Aldridge,69.0,53.0,-16.0,SAS,"=""0021700722""",Home
9,9,Patty Mills,51.0,39.0,-12.0,SAS,"=""0021700722""",Home
10,10,Pau Gasol,41.0,24.0,-17.0,SAS,"=""0021700722""",Home
11,11,Tony Parker,29.0,24.0,-5.0,SAS,"=""0021700722""",Home
0,0,Bryn Forbes,37.0,25.0,-12.0,SAS,"=""0021700463""",Away
1,1,Danny Green,42.0,38.0,-4.0,SAS,"=""0021700463""",Away
2,2,Davis Bertans,11.0,13.0,2.0,SAS,"=""0021700463""",Away
3,3,Dejounte Murray,54.0,47.0,-7.0,SAS,"=""0021700463""",Away
4,4,Joffrey Lauvergne,11.0,13.0,2.0,SAS,"=""0021700463""",Away
5,5,Kyle Anderson,49.0,55.0,6.0,SAS,"=""0021700463""",Away
6,6,LaMarcus Aldridge,68.0,63.0,-5.0,SAS,"=""0021700463""",Away
7,7,Manu Ginobili,51.0,61.0,10.0,SAS,"=""0021700463""",Away
8,8,Patty Mills,40.0,53.0,13.0,SAS,"=""0021700463""",Away
9,9,Pau Gasol,62.0,62.0,0.0,SAS,"=""0021700463""",Away
10,10,Rudy Gay,30.0,35.0,5.0,SAS,"=""0021700463""",Away
0,0,Bryn Forbes,33.0,46.0,13.0,SAS,"=""0021701168""",Away
1,1,Danny Green,64.0,71.0,7.0,SAS,"=""0021701168""",Away
2,2,Dejounte Murray,46.0,47.0,1.0,SAS,"=""0021701168""",Away
3,3,Kyle Anderson,66.0,67.0,1.0,SAS,"=""0021701168""",Away
